,pid,condition,timing,trial,hand,PTime
0,sha2,discrete,pre,0,Right,13.24216353
1,sha2,discrete,pre,0,Left,1.159796908
0,sha2,discrete,post,0,Right,1.960921535
1,sha2,discrete,post,0,Left,3.774136277
