,pid,condition,timing,trial,hand,PTime
0,P16,continuous,pre,0,right,20.079675712324384
1,P16,continuous,pre,0,left,20.586000011491706
2,P16,continuous,pre,1,right,17.905113870321657
3,P16,continuous,pre,1,left,25.229532548466526
4,P16,continuous,pre,2,right,15.923033579827461
5,P16,continuous,pre,2,left,17.969438587017066
6,P16,continuous,pre,3,right,16.750250225522905
7,P16,continuous,pre,3,left,21.84307249740959
8,P16,continuous,pre,4,right,16.72374336609937
9,P16,continuous,pre,4,left,19.763028676818067
0,P16,continuous,post,0,right,15.27434850341524
1,P16,continuous,post,0,left,20.086639575001755
2,P16,continuous,post,1,right,16.37038193272747
3,P16,continuous,post,1,left,14.474346741393674
4,P16,continuous,post,2,right,15.254831089503568
5,P16,continuous,post,2,left,17.025538918955135
6,P16,continuous,post,3,right,15.961390737837064
7,P16,continuous,post,3,left,18.20127416885225
8,P16,continuous,post,4,right,14.753702440357301
9,P16,continuous,post,4,left,20.609534509312653
