,pid,condition,timing,trial,hand,PTime
0,P06,continuous,pre,0,right,20.47133295
1,P06,continuous,pre,0,left,20.01210697
2,P06,continuous,pre,1,right,16.75765912
3,P06,continuous,pre,1,left,18.64411822
4,P06,continuous,pre,2,right,16.23773703
5,P06,continuous,pre,2,left,19.33358959
6,P06,continuous,pre,3,right,17.07648914
7,P06,continuous,pre,3,left,16.87337076
8,P06,continuous,pre,4,right,15.62337928
9,P06,continuous,pre,4,left,15.98637118
0,P06,continuous,post,0,right,15.974867130538769
1,P06,continuous,post,0,left,18.07185618879521
2,P06,continuous,post,1,right,19.522853164638946
3,P06,continuous,post,1,left,18.258824543361698
4,P06,continuous,post,2,right,16.94642090364505
5,P06,continuous,post,2,left,17.9539496944235
6,P06,continuous,post,3,right,17.95552746543399
7,P06,continuous,post,3,left,15.88137950583041
8,P06,continuous,post,4,right,16.226465873372945
9,P06,continuous,post,4,left,18.509881274552754
