,pid,condition,timing,trial,hand,PTime
0,P15,control,pre,0,right,20.76011407142596
1,P15,control,pre,0,left,19.38042169655364
2,P15,control,pre,1,right,17.366856849552278
3,P15,control,pre,1,left,17.21469253766736
4,P15,control,pre,2,right,18.589829716411263
5,P15,control,pre,2,left,17.54985990052228
6,P15,control,pre,3,right,16.314282102698602
7,P15,control,pre,3,left,17.128179817631462
8,P15,control,pre,4,right,16.86748753660504
9,P15,control,pre,4,left,16.998989521746807
0,P15,control,post,0,right,16.94265282537708
1,P15,control,post,0,left,17.413919865718526
2,P15,control,post,1,right,16.607189493162878
3,P15,control,post,1,left,14.202930465788995
4,P15,control,post,2,right,15.98237790460098
5,P15,control,post,2,left,15.943325839649333
6,P15,control,post,3,right,16.01443705631209
7,P15,control,post,3,left,15.003363539173733
8,P15,control,post,4,right,14.550739415538374
9,P15,control,post,4,left,14.915110185498634
