,pid,condition,timing,trial,hand,PTime
0,P17,control,pre,0,right,21.087821625624198
1,P17,control,pre,0,left,21.803233225204167
2,P17,control,pre,1,right,18.638997504065628
3,P17,control,pre,1,left,19.292254708023396
4,P17,control,pre,2,right,17.84821408051357
5,P17,control,pre,2,left,19.052012453641513
6,P17,control,pre,3,right,17.08887960211723
7,P17,control,pre,3,left,20.290033800090896
8,P17,control,pre,4,right,17.935554215742737
9,P17,control,pre,4,left,18.74146609035961
0,P17,control,post,0,right,18.271769899098217
1,P17,control,post,0,left,22.263126444565387
2,P17,control,post,1,right,15.2333093035204
3,P17,control,post,1,left,19.072151873520852
4,P17,control,post,2,right,17.581074569282464
5,P17,control,post,2,left,19.681907083534497
6,P17,control,post,3,right,17.3047789704151
7,P17,control,post,3,left,19.99120485887488
8,P17,control,post,4,right,19.058252631724827
9,P17,control,post,4,left,23.45295302388695
