,pid,condition,timing,trial,hand,PTime
0,P08,control,pre,0,right,16.40969039475749
1,P08,control,pre,0,left,17.209852959822456
2,P08,control,pre,1,right,15.954776727761784
3,P08,control,pre,1,left,17.217215119468165
4,P08,control,pre,2,right,15.708372675431747
5,P08,control,pre,2,left,18.303401034303533
6,P08,control,pre,3,right,16.03096512090997
7,P08,control,pre,3,left,18.358200093694908
8,P08,control,pre,4,right,16.21391019161092
9,P08,control,pre,4,left,17.106041912215005
0,P08,control,post,0,right,15.439314207528696
1,P08,control,post,0,left,17.272240872366638
2,P08,control,post,1,right,15.671389894599997
3,P08,control,post,1,left,16.775580661323147
4,P08,control,post,2,right,15.84808499358769
5,P08,control,post,2,left,16.351658441364634
6,P08,control,post,3,right,15.475469271183101
7,P08,control,post,3,left,16.328260383261295
8,P08,control,post,4,right,15.700960376059811
9,P08,control,post,4,left,17.434393582580014
