,pid,condition,timing,trial,hand,PTime
0,P07,control,pre,0,right,20.85629194601961
1,P07,control,pre,0,left,21.809682044336114
2,P07,control,pre,1,right,19.4347179070935
3,P07,control,pre,1,left,20.817560168034788
4,P07,control,pre,2,right,17.730418934463387
5,P07,control,pre,2,left,18.793116802080018
6,P07,control,pre,3,right,18.93088265092911
7,P07,control,pre,3,left,20.73205033081831
8,P07,control,pre,4,right,16.71811776927325
9,P07,control,pre,4,left,19.442541638145713
0,P07,control,post,0,right,21.723378322214558
1,P07,control,post,0,left,24.808195675781462
2,P07,control,post,1,right,18.614021056098863
3,P07,control,post,1,left,19.405272643351054
4,P07,control,post,2,right,18.8281574093744
5,P07,control,post,2,left,17.21162930999708
6,P07,control,post,3,right,16.675018242618535
7,P07,control,post,3,left,21.060359030048858
8,P07,control,post,4,right,17.088772697934473
9,P07,control,post,4,left,18.218264068840654
