,pid,condition,timing,trial,hand,PTime
0,P03,continuous,pre,0,right,17.881150534711196
1,P03,continuous,pre,0,left,18.629944990636428
2,P03,continuous,pre,1,right,16.318011205643412
3,P03,continuous,pre,1,left,15.416332043358127
4,P03,continuous,pre,2,right,15.183074923581446
5,P03,continuous,pre,2,left,16.19474789200467
6,P03,continuous,pre,3,right,14.077265520769286
7,P03,continuous,pre,3,left,16.75888965454942
8,P03,continuous,pre,4,right,15.672178965600324
9,P03,continuous,pre,4,left,15.930431804838008
0,P03,continuous,post,0,right,16.394107818530756
1,P03,continuous,post,0,left,15.843563623711816
2,P03,continuous,post,1,right,16.445798472865135
3,P03,continuous,post,1,left,19.08878453838406
4,P03,continuous,post,2,right,17.113716298583313
5,P03,continuous,post,2,left,16.815050374512793
6,P03,continuous,post,3,right,13.921820882649627
7,P03,continuous,post,3,left,16.180980492950766
8,P03,continuous,post,4,right,14.542447731335415
9,P03,continuous,post,4,left,16.694103681613342
