,pid,condition,timing,trial,hand,PTime
0,P12,continuous,pre,0,right,18.38416851614602
1,P12,continuous,pre,0,left,18.410061341139226
2,P12,continuous,pre,1,right,16.529170940830227
3,P12,continuous,pre,1,left,15.545914689315396
4,P12,continuous,pre,2,right,16.460788249347388
5,P12,continuous,pre,2,left,17.764102831253695
6,P12,continuous,pre,3,right,15.446178838494234
7,P12,continuous,pre,3,left,15.91878791686031
8,P12,continuous,pre,4,right,15.367018354842005
9,P12,continuous,pre,4,left,16.46043431396174
0,P12,continuous,post,0,right,19.96475965314312
1,P12,continuous,post,0,left,21.028836179932114
2,P12,continuous,post,1,right,14.631551448605023
3,P12,continuous,post,1,left,17.67739952285774
4,P12,continuous,post,2,right,15.60050355392741
5,P12,continuous,post,2,left,16.04169699124759
6,P12,continuous,post,3,right,16.007438011467457
7,P12,continuous,post,3,left,15.015902972605545
8,P12,continuous,post,4,right,14.75031907839002
9,P12,continuous,post,4,left,17.552839452691842
