,pid,condition,timing,trial,hand,PTime
0,P10,control,pre,0,right,17.715031124516827
1,P10,control,pre,0,left,19.533571997395484
2,P10,control,pre,1,right,17.678770708978842
3,P10,control,pre,1,left,18.46262472501985
4,P10,control,pre,2,right,18.820898529596892
5,P10,control,pre,2,left,19.03750225519252
6,P10,control,pre,3,right,17.290250716014267
7,P10,control,pre,3,left,16.78683029430249
8,P10,control,pre,4,right,17.839958201868285
9,P10,control,pre,4,left,18.308592940513336
0,P10,control,post,0,right,17.67216862965506
1,P10,control,post,0,left,18.356991225151432
2,P10,control,post,1,right,17.801717124202696
3,P10,control,post,1,left,17.53120417797254
4,P10,control,post,2,right,16.3182444638187
5,P10,control,post,2,left,17.411349843179778
6,P10,control,post,3,right,15.530411653217016
7,P10,control,post,3,left,17.114447239837318
8,P10,control,post,4,right,17.01781437837053
9,P10,control,post,4,left,18.090776835138968
