,pid,condition,timing,trial,hand,PTime
0,P05,continuous,pre,0,right,20.344588142328575
1,P05,continuous,pre,0,left,25.46285307818471
2,P05,continuous,pre,1,right,20.966913565873252
3,P05,continuous,pre,1,left,22.139774546310946
4,P05,continuous,pre,2,right,20.402598283108087
5,P05,continuous,pre,2,left,24.1467689810197
6,P05,continuous,pre,3,right,19.618702949879662
7,P05,continuous,pre,3,left,21.060769226940465
8,P05,continuous,pre,4,right,17.36896792250991
9,P05,continuous,pre,4,left,20.355677730462048
0,P05,continuous,post,0,right,15.939701445199262
1,P05,continuous,post,0,left,19.569527507208022
2,P05,continuous,post,1,right,19.81205588048624
3,P05,continuous,post,1,left,18.662956214235237
4,P05,continuous,post,2,right,17.471968400122023
5,P05,continuous,post,2,left,20.87015114667156
6,P05,continuous,post,3,right,17.054547098166495
7,P05,continuous,post,3,left,19.416517693151036
8,P05,continuous,post,4,right,17.145897006982523
9,P05,continuous,post,4,left,18.367161653279254
