,pid,condition,timing,trial,hand,PTime
0,P13,control,pre,0,right,25.27350969836698
1,P13,control,pre,0,left,20.44320562803477
2,P13,control,pre,1,right,20.305016459533363
3,P13,control,pre,1,left,22.154803447119775
4,P13,control,pre,2,right,19.347839193811524
5,P13,control,pre,2,left,19.837572386299144
6,P13,control,pre,3,right,21.585376186587386
7,P13,control,pre,3,left,20.3389804669132
8,P13,control,pre,4,right,20.188468294814808
9,P13,control,pre,4,left,20.720716634881686
0,P13,control,post,0,right,18.59572274121456
1,P13,control,post,0,left,22.418716607848182
2,P13,control,post,1,right,18.761370374530088
3,P13,control,post,1,left,21.76538394356612
4,P13,control,post,2,right,17.84070712054381
5,P13,control,post,2,left,17.828817717032507
6,P13,control,post,3,right,17.860888347844593
7,P13,control,post,3,left,21.940389038121793
8,P13,control,post,4,right,18.22124732437078
9,P13,control,post,4,left,19.62781252444256
