,pid,condition,timing,trial,hand,PTime
0,P04,continuous,pre,0,right,20.392558626277605
1,P04,continuous,pre,0,left,21.553224162445982
2,P04,continuous,pre,1,right,18.51485627892544
3,P04,continuous,pre,1,left,23.15935053647263
4,P04,continuous,pre,2,right,17.713421615408148
5,P04,continuous,pre,2,left,18.3209809675609
6,P04,continuous,pre,3,right,17.72555960265163
7,P04,continuous,pre,3,left,17.89454529854993
8,P04,continuous,pre,4,right,17.131401526145055
9,P04,continuous,pre,4,left,17.622903058130763
0,P04,continuous,post,0,right,15.469570749934064
1,P04,continuous,post,0,left,19.086683525849367
2,P04,continuous,post,1,right,16.190016570602893
3,P04,continuous,post,1,left,17.377719154566876
4,P04,continuous,post,2,right,16.469795598473866
5,P04,continuous,post,2,left,17.823732133736485
6,P04,continuous,post,3,right,14.708513525009039
7,P04,continuous,post,3,left,16.443463418632746
8,P04,continuous,post,4,right,14.548779497490614
9,P04,continuous,post,4,left,14.619611008150969
