,pid,condition,timing,trial,hand,PTime
0,P11,continuous,pre,0,right,26.5379423330487
1,P11,continuous,pre,0,left,25.55655152019972
2,P11,continuous,pre,1,right,22.095487860093268
3,P11,continuous,pre,1,left,22.785237830023107
4,P11,continuous,pre,2,right,20.903311670754192
5,P11,continuous,pre,2,left,21.975096202244462
6,P11,continuous,pre,3,right,22.727228816162096
7,P11,continuous,pre,3,left,21.522776354970123
8,P11,continuous,pre,4,right,20.653189670298158
9,P11,continuous,pre,4,left,23.071117263698397
0,P11,continuous,post,0,right,22.980327842466068
1,P11,continuous,post,0,left,23.96132065495476
2,P11,continuous,post,1,right,17.123157734284177
3,P11,continuous,post,1,left,25.01633773127105
4,P11,continuous,post,2,right,21.05475622107042
5,P11,continuous,post,2,left,24.474816558649763
6,P11,continuous,post,3,right,22.507664392411243
7,P11,continuous,post,3,left,23.933685328171123
8,P11,continuous,post,4,right,26.642439566669054
9,P11,continuous,post,4,left,26.158583092910703
