,pid,condition,timing,trial,hand,PTime
0,P02,continuous,pre,0,right,14.615634744957788
1,P02,continuous,pre,0,left,15.74400177426287
2,P02,continuous,pre,1,right,14.413833812082885
3,P02,continuous,pre,1,left,17.262945162627148
4,P02,continuous,pre,2,right,17.257350764004517
5,P02,continuous,pre,2,left,16.933236856610165
6,P02,continuous,pre,3,right,15.559867726275115
7,P02,continuous,pre,3,left,15.122155925331755
8,P02,continuous,pre,4,right,16.481328574867803
9,P02,continuous,pre,4,left,20.901805184694236
0,P02,continuous,post,0,right,15.656256715301424
1,P02,continuous,post,0,left,17.154971782809298
2,P02,continuous,post,1,right,14.859189096321643
3,P02,continuous,post,1,left,17.5645831314323
4,P02,continuous,post,2,right,14.079776514830883
5,P02,continuous,post,2,left,16.164005572572933
6,P02,continuous,post,3,right,14.175146123001468
7,P02,continuous,post,3,left,15.297229839547072
8,P02,continuous,post,4,right,13.206740255176555
9,P02,continuous,post,4,left,16.490160470049886
