,pid,condition,timing,trial,hand,PTime
0,P14,control,pre,0,right,20.34550184130785
1,P14,control,pre,0,left,19.973899946606245
2,P14,control,pre,1,right,17.417892736120848
3,P14,control,pre,1,left,18.627453511508065
4,P14,control,pre,2,right,17.84082866845711
5,P14,control,pre,2,left,16.76374276711431
6,P14,control,pre,3,right,17.502336969482712
7,P14,control,pre,3,left,17.652587137432423
8,P14,control,pre,4,right,16.642558585110237
9,P14,control,pre,4,left,17.53002398640092
0,P14,control,post,0,right,19.05452639271971
1,P14,control,post,0,left,20.138781465415377
2,P14,control,post,1,right,18.00023250968661
3,P14,control,post,1,left,18.817089576390572
4,P14,control,post,2,right,18.160381116671488
5,P14,control,post,2,left,17.631827242614236
6,P14,control,post,3,right,17.152745069819503
7,P14,control,post,3,left,16.798787195817567
8,P14,control,post,4,right,16.52224891638616
9,P14,control,post,4,left,15.239324856258463
